Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,All,31,40,77.5
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Economically Disadvantaged,*,17,58.82
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Female,12,14,85.71
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Hispanic or Latino,*,*,*
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Limited English Proficient,*,*,*
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Male,19,26,73.08
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Migrant,*,*,*
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Students With Disabilities,*,*,*
2011,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,White,26,34,76.47
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,All,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Economically Disadvantaged,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Female,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Hispanic or Latino,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Limited English Proficient,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Male,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Migrant,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Students With Disabilities,*,*,*
2011,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,White,*,*,*
