Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,All,22,39,56.41
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Black/African American,*,*,*
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Bottom25,*,*,*
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Economically Disadvantaged,9,20,45
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Female,13,15,86.67
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Hispanic or Latino,*,*,*
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Limited English Proficient,*,*,*
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Male,9,24,37.5
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Migrant,*,*,*
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Students With Disabilities,*,*,*
2015,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,White,14,24,58.33
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,All,41,41,100
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Asian,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Black/African American,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Bottom25,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Economically Disadvantaged,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Female,19,19,100
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Hispanic or Latino,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Limited English Proficient,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Male,22,22,100
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Migrant,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Native Hawaiian or Pacific Islander,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Students With Disabilities,*,*,*
2015,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,White,29,29,100
2015,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,All,19,54,35.19
2015,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,American Indian or Alaska Native,*,*,*
