year,grad_rate
2010,0.6697651663405088
2011,0.7328629032258065
2012,0.7649743297204792
2013,0.7638334284084427
2014,0.75
2015,0.7901734104046243
2016,0.8348134991119005
2017,0.7975848188614146
2018,0.8270142180094787
2019,0.7901524032825322
2020,0.8130381303813038
