Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2014,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,White,8,18,44.44
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,All,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,American Indian or Alaska Native,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Bottom25,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Economically Disadvantaged,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Female,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Hispanic or Latino,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Limited English Proficient,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Male,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Migrant,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Students With Disabilities,*,*,*
2014,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,White,*,*,*
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,All,51,66,77.27
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Bottom25,*,*,*
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Economically Disadvantaged,*,*,*
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Female,19,26,73.08
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Hispanic or Latino,*,*,*
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Male,32,40,80
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Migrant,*,*,*
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Students With Disabilities,*,*,*
2014,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,White,48,59,81.36
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,All,339,415,81.69
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,American Indian or Alaska Native,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Asian,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Black/African American,49,59,83.05
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Bottom25,87,108,80.56
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Economically Disadvantaged,202,243,83.13
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Female,172,199,86.43
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Hispanic or Latino,193,245,78.78
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Male,167,216,77.31
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Migrant,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Multiple Races,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Students With Disabilities,31,42,73.81
2014,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,White,79,92,85.87
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,All,288,340,84.71
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,American Indian or Alaska Native,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Asian,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Black/African American,53,60,88.33
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Bottom25,56,66,84.85
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Economically Disadvantaged,145,163,88.96
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Female,129,143,90.21
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Hispanic or Latino,132,157,84.08
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Male,159,197,80.71
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Migrant,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Multiple Races,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Native Hawaiian or Pacific Islander,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Students With Disabilities,23,32,71.88
2014,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,White,87,106,82.08
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,All,460,566,81.27
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,American Indian or Alaska Native,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Asian,48,57,84.21
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Black/African American,38,53,71.7
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Bottom25,121,138,87.68
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Economically Disadvantaged,116,145,80
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Female,239,282,84.75
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Hispanic or Latino,145,179,81.01
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Male,221,284,77.82
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Migrant,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Multiple Races,10,13,76.92
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Native Hawaiian or Pacific Islander,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Students With Disabilities,25,44,56.82
2014,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,White,216,258,83.72
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,All,393,435,90.34
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,American Indian or Alaska Native,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Asian,13,14,92.86
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Black/African American,18,22,81.82
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Bottom25,87,92,94.57
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Economically Disadvantaged,112,123,91.06
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Female,192,207,92.75
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Hispanic or Latino,134,151,88.74
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Male,201,228,88.16
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Migrant,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Multiple Races,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Native Hawaiian or Pacific Islander,*,*,*
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Students With Disabilities,26,27,96.3
2014,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,White,221,240,92.08
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,All,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Black/African American,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Bottom25,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Economically Disadvantaged,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Female,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Hispanic or Latino,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Male,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Migrant,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,Students With Disabilities,*,*,*
2014,4 Year,90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Mosaica Online High School of Arizona,Maricopa,White,*,*,*
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,All,34,147,23.13
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,American Indian or Alaska Native,*,*,*
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Black/African American,6,17,35.29
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Bottom25,*,*,*
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Economically Disadvantaged,32,128,25
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Female,24,76,31.58
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Hispanic or Latino,20,110,18.18
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Male,10,71,14.08
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Migrant,*,*,*
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Multiple Races,*,*,*
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Students With Disabilities,*,*,*
2014,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,White,7,14,50
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,All,20,25,80
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,American Indian or Alaska Native,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Asian,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Bottom25,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Economically Disadvantaged,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Female,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Hispanic or Latino,12,16,75
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Limited English Proficient,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Male,12,16,75
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Migrant,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Students With Disabilities,*,*,*
2014,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,White,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,All,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Bottom25,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Economically Disadvantaged,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Female,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Hispanic or Latino,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Male,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Migrant,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,Students With Disabilities,*,*,*
2014,4 Year,90164,"Alhambra Education Partnerships, Inc.",90165,Alhambra College Preparatory High School,Maricopa,White,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,All,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Bottom25,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Economically Disadvantaged,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Female,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Hispanic or Latino,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Limited English Proficient,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Male,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Migrant,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Students With Disabilities,*,*,*
2014,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,White,*,*,*
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,All,78,102,76.47
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Bottom25,13,17,76.47
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Economically Disadvantaged,64,84,76.19
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Female,42,53,79.25
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Hispanic or Latino,76,100,76
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Limited English Proficient,*,*,*
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Male,36,49,73.47
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Migrant,*,*,*
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Students With Disabilities,*,*,*
2014,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,White,*,*,*
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,All,22,66,33.33
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Bottom25,*,*,*
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Economically Disadvantaged,18,49,36.73
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Female,15,26,57.69
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Hispanic or Latino,6,21,28.57
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Limited English Proficient,*,*,*
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Male,7,40,17.5
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Migrant,*,*,*
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Multiple Races,*,*,*
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Students With Disabilities,*,*,*
2014,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,White,14,42,33.33
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,All,25,90,27.78
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,American Indian or Alaska Native,*,*,*
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Black/African American,*,*,*
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Bottom25,*,*,*
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Economically Disadvantaged,21,71,29.58
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Female,19,41,46.34
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Hispanic or Latino,20,69,28.99
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Limited English Proficient,*,*,*
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Male,6,49,12.24
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Migrant,*,*,*
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Native Hawaiian or Pacific Islander,*,*,*
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Students With Disabilities,5,13,38.46
2014,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,White,4,14,28.57
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,All,50,123,40.65
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,American Indian or Alaska Native,*,*,*
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Asian,*,*,*
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Black/African American,*,*,*
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Bottom25,*,*,*
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Economically Disadvantaged,24,64,37.5
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Female,27,50,54
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Hispanic or Latino,11,47,23.4
2014,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Limited English Proficient,*,*,*
