Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated
2010,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Native American ,*,*,*
2010,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Students With Disabilities,*,12,8.3
2010,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,White,*,29,17.2
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,All,*,*,*
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Asian,*,*,*
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Economically Disadvantaged,*,*,*
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Female,*,*,*
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Limited English Proficient,*,*,*
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Migrant,*,*,*
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Students With Disabilities,*,*,*
2010,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,White,*,*,*
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,All,75,85,88.2
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Economically Disadvantaged,*,*,*
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Female,34,36,94.4
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Hispanic or Latino,*,*,*
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Male,41,49,83.7
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Migrant,*,*,*
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Native American ,*,*,*
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Students With Disabilities,*,11,81.8
2010,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,White,70,79,88.6
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,All,301,371,81.1
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Asian,13,13,100.0
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Black/African American,34,42,81.0
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Economically Disadvantaged,*,24,25.0
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Female,141,171,82.5
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Hispanic or Latino,174,224,77.7
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Male,160,200,80.0
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Migrant,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Native American ,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Students With Disabilities,27,41,65.9
2010,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,White,76,88,86.4
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,All,266,321,82.9
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Asian,14,16,87.5
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Black/African American,40,46,87.0
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Economically Disadvantaged,*,20,45.0
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Female,130,153,85.0
