Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,All,29,36,80.56
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Black/African American,*,*,*
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Economically Disadvantaged,16,20,80
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Female,18,18,100
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Hispanic or Latino,9,11,81.82
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Limited English Proficient,*,*,*
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Male,11,18,61.11
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Migrant,*,*,*
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Students With Disabilities,*,*,*
2016,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,White,19,23,82.61
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,All,24,24,100
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Black/African American,*,*,*
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Economically Disadvantaged,*,*,*
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Female,13,13,100
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Hispanic or Latino,*,*,*
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Limited English Proficient,*,*,*
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Male,11,11,100
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Migrant,*,*,*
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Students With Disabilities,*,*,*
2016,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,White,17,17,100
2016,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,All,37,54,68.52
2016,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,American Indian or Alaska Native,*,*,*
2016,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Black/African American,*,*,*
2016,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Economically Disadvantaged,25,37,67.57
