Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,All,28,43,65.12
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Economically Disadvantaged,21,33,63.64
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Female,14,16,87.5
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Hispanic or Latino,*,11,36.36
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Limited English Proficient,*,*,*
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Male,14,27,51.85
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Migrant,*,*,*
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Students with Disabilities,*,*,*
2012,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,White,24,32,75
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,All,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Economically Disadvantaged,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Female,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Hispanic or Latino,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Limited English Proficient,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Male,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Migrant,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Students with Disabilities,*,*,*
2012,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,White,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,African American,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,All,28,32,87.5
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Economically Disadvantaged,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Female,19,20,95
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Hispanic or Latino,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Limited English Proficient,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Male,*,12,75
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Migrant,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Multiple Races,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Native America,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Native Hawaiian or Pacific Islander,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Students with Disabilities,*,*,*
2012,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,White,15,19,78.95
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,African American,*,*,*
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,All,33,54,61.11
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Economically Disadvantaged,28,40,70
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Female,22,31,70.97
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Hispanic or Latino,13,26,50
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Limited English Proficient,*,*,*
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Male,11,23,47.83
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Migrant,*,*,*
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Multiple Races,*,*,*
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Native America,*,*,*
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Students with Disabilities,*,*,*
2012,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,White,11,18,61.11
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,All,*,*,*
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Asian,*,*,*
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Economically Disadvantaged,*,*,*
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Female,*,*,*
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Hispanic or Latino,*,*,*
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Limited English Proficient,*,*,*
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Migrant,*,*,*
2012,4 Year,6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Pima,Students with Disabilities,*,*,*
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,All,71,85,83.53
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Asian,*,*,*
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Economically Disadvantaged,*,*,*
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Female,37,39,94.87
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Hispanic or Latino,*,*,*
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Limited English Proficient,*,*,*
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Male,34,46,73.91
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Migrant,*,*,*
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Students with Disabilities,*,*,*
2012,4 Year,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,White,65,76,85.53
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,African American,31,45,68.89
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,All,309,389,79.43
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Asian,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Economically Disadvantaged,*,17,41.18
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Female,151,176,85.8
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Hispanic or Latino,179,228,78.51
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Limited English Proficient,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Male,158,213,74.18
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Migrant,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Multiple Races,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Native America,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Native Hawaiian or Pacific Islander,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,Students with Disabilities,20,33,60.61
2012,4 Year,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,White,83,97,85.57
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,African American,37,52,71.15
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,All,291,372,78.23
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Asian,16,20,80
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Economically Disadvantaged,*,15,60
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Female,138,176,78.41
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Hispanic or Latino,117,158,74.05
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Limited English Proficient,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Male,153,196,78.06
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Migrant,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Multiple Races,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Native America,*,*,*
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Students with Disabilities,22,34,64.71
2012,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,White,115,134,85.82
2012,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,African American,59,72,81.94
2012,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,All,426,515,82.72
