Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,All,24,45,53.33
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Black/African American,*,*,*
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Economically Disadvantaged,18,33,54.55
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Female,9,13,69.23
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Hispanic or Latino,*,*,*
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Limited English Proficient,*,*,*
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Male,15,32,46.88
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Migrant,*,*,*
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Students With Disabilities,*,*,*
2017,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,White,21,36,58.33
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,All,38,38,100
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Black/African American,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Economically Disadvantaged,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Female,22,22,100
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Hispanic or Latino,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Limited English Proficient,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Male,16,16,100
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Migrant,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Multiple Races,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Native Hawaiian or Pacific Islander,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,Students With Disabilities,*,*,*
2017,4 Year,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Pima,White,25,25,100
2017,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,All,10,44,22.73
2017,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,American Indian or Alaska Native,*,*,*
2017,4 Year,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Black/African American,*,*,*
